,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return (%)
64,64,64,64,64,64,2023-09-21 00:00:00+08:00,84.01226213989881,84.06212409232697,82.11762206561578,82.41677856445312,33742916,0.0,0.0,-2.189349449957634
65,65,65,65,65,65,2023-09-22 00:00:00+08:00,82.41677891511803,86.05648082975155,81.91818982017826,85.65760803222656,40153148,0.0,0.0,3.9322447737252686
66,66,66,66,66,66,2023-09-25 00:00:00+08:00,84.76014395179851,85.10915478767397,84.01226032869441,84.11197662353516,20742680,0.0,0.0,-1.8044298039584517
67,67,67,67,67,67,2023-09-26 00:00:00+08:00,84.21169333256857,84.71028241709027,83.16466081979242,83.71310424804688,27428051,0.0,0.0,-0.47421591014742415
68,68,68,68,68,68,2023-09-27 00:00:00+08:00,83.6632531297954,85.40831499289895,83.6632531297954,84.26155853271484,27246265,0.0,0.0,0.6551594157145013
69,69,69,69,69,69,2023-09-28 00:00:00+08:00,84.61057104518306,84.61057104518306,82.6162145910462,82.76579284667969,27187837,0.0,0.0,-1.7751460002421116
70,70,70,70,70,70,2023-09-29 00:00:00+08:00,83.76296076842264,86.40548426661854,83.36408800509521,85.35844421386719,34608437,0.0,0.0,3.1325155937191207
71,71,71,71,71,71,2023-10-03 00:00:00+08:00,83.91254148752817,84.01225777934303,82.11761780339901,82.8655014038086,36631880,0.0,0.0,-2.920557928413592
72,72,72,72,72,72,2023-10-04 00:00:00+08:00,81.86832847442501,82.66607407538864,80.9708665753074,81.51931762695312,25898508,0.0,0.0,-1.6245406762163128
73,73,73,73,73,73,2023-10-05 00:00:00+08:00,81.91818315218524,82.56635044442045,81.12043762207031,81.12043762207031,21793205,0.0,0.0,-0.4893073402652326
74,74,74,74,74,74,2023-10-06 00:00:00+08:00,81.76861473297717,83.11480381981272,81.76861473297717,82.66607666015625,15175175,0.0,0.0,1.9053632887027439
75,75,75,75,75,75,2023-10-09 00:00:00+08:00,82.96522645062505,83.21452101040201,81.3198884423901,81.86833190917969,24082283,0.0,0.0,-0.9650206991873134
76,76,76,76,76,76,2023-10-10 00:00:00+08:00,83.6632466579485,85.05929756201175,83.01507935164784,83.16465759277344,29317215,0.0,0.0,1.5834275028735467
77,77,77,77,77,77,2023-10-11 00:00:00+08:00,85.1091583738554,85.3085985798062,84.062125822111,84.36127471923828,31718059,0.0,0.0,1.4388529467940891
78,78,78,78,78,78,2023-10-12 00:00:00+08:00,86.65478240598034,86.65478240598034,85.4083097235234,85.60774230957031,26037608,0.0,0.0,1.477535272529229
79,79,79,79,79,79,2023-10-13 00:00:00+08:00,83.01508015436501,83.66324746693314,82.26719654937072,82.36691284179688,28548643,0.0,0.0,-3.7856733285339006
80,80,80,80,80,80,2023-10-16 00:00:00+08:00,81.96804912651996,82.56636216295654,80.87115457283004,81.07059478759766,22249354,0.0,0.0,-1.5738334841917334
81,81,81,81,81,81,2023-10-17 00:00:00+08:00,81.61903746500498,81.9680483276138,81.12044834474489,81.76861572265625,17701849,0.0,0.0,0.8610038410195253
82,82,82,82,82,82,2023-10-18 00:00:00+08:00,81.66888852166502,82.46662644290528,80.77142670338768,81.22015380859375,21876252,0.0,0.0,-0.6707486842174037
83,83,83,83,83,83,2023-10-19 00:00:00+08:00,80.67171273930829,80.92100727335568,78.8269347089307,78.92665100097656,41786984,0.0,0.0,-2.8238099782747716
84,84,84,84,84,84,2023-10-20 00:00:00+08:00,77.97933165810018,78.92665550627473,77.8796153603623,78.27848815917969,35074847,0.0,0.0,-0.8212217718307269
85,85,85,85,85,85,2023-10-24 00:00:00+08:00,77.77989274968331,78.32834375452589,76.83257658626275,76.98214721679688,38345055,0.0,0.0,-1.656062825008442
