,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return (%)
80,2022-12-21 00:00:00-05:00,52.28245339315927,53.18354311750056,52.18659045006081,52.85761642456055,1178600,0.0,0.0,1.865869970098144
81,2022-12-22 00:00:00-05:00,52.72341326859066,52.752170323834704,51.97570057786583,52.65631103515625,651800,0.0,0.0,-0.38084462187507606
82,2022-12-23 00:00:00-05:00,52.63713860461152,52.82886083934338,52.35914154709019,52.69465637207031,485100,0.0,0.0,0.07282192041226931
83,2022-12-27 00:00:00-05:00,52.88637721733921,52.97265204382743,52.53169344479769,52.83844757080078,467900,0.0,0.0,0.2728762433047871
84,2022-12-28 00:00:00-05:00,52.78093431505884,53.308167749141305,52.694659487169154,53.08768844604492,918000,0.0,0.0,0.4717036300322164
85,2022-12-29 00:00:00-05:00,52.915136928306666,53.57657481432138,52.656312453745024,53.1164436340332,814100,0.0,0.0,0.05416545498586611
86,2022-12-30 00:00:00-05:00,52.95348373666528,53.16437491528704,52.65631407373769,53.03017044067383,818000,0.0,0.0,-0.16242275923777916
87,2023-01-03 00:00:00-05:00,53.13561888401389,53.36568265727792,51.73605268346483,52.10990905761719,1201800,0.0,0.0,-1.7353543754609624
88,2023-01-04 00:00:00-05:00,52.84803354546548,53.59574624009745,52.39748684136803,53.35609436035156,1483400,0.0,0.0,2.3914555317233077
89,2023-01-05 00:00:00-05:00,53.14520024446812,54.09422330990395,53.11644318869046,53.60533142089844,1530400,0.0,0.0,0.46712013601220015
90,2023-01-06 00:00:00-05:00,53.87374498246392,54.602285110676526,53.70119533110874,54.47766876220703,749600,0.0,0.0,1.6273331741187613
91,2023-01-09 00:00:00-05:00,54.45849286487649,54.937796610242,53.92167135362006,54.04629135131836,970500,0.0,0.0,-0.7918426406453238
92,2023-01-10 00:00:00-05:00,53.8449874471002,53.96002299265767,53.47113106603293,53.68202590942383,1103800,0.0,0.0,-0.6739878589017145
93,2023-01-11 00:00:00-05:00,53.71078109741211,53.883330752943,53.30816767237182,53.71078109741211,964600,0.0,0.0,0.053565765265273235
94,2023-01-12 00:00:00-05:00,54.00795099686642,54.35305030943389,53.47112943767284,53.7682991027832,1701200,0.0,0.0,0.10708838001587395
95,2023-01-13 00:00:00-05:00,53.66284851042464,53.99836333637583,53.52864404276315,53.96001815795898,1110500,0.0,0.0,0.35656522221259035
96,2023-01-17 00:00:00-05:00,54.10380759873832,55.25413736443912,54.065466076759726,54.75566101074219,1430900,0.0,0.0,1.47450442002095
97,2023-01-18 00:00:00-05:00,54.640630032526175,54.669387088683855,53.75871284691315,53.81622695922852,1666800,0.0,0.0,-1.715683883953778
98,2023-01-19 00:00:00-05:00,53.71078234746103,53.97919496053252,53.42320080048235,53.49030303955078,945200,0.0,0.0,-0.6056238760934751
99,2023-01-20 00:00:00-05:00,53.720372194913615,53.720372194913615,53.12603283438325,53.42320251464844,865300,0.0,0.0,-0.12544427884944032
100,2023-01-23 00:00:00-05:00,53.48071536417363,53.634092423814025,52.92472123747876,53.07809829711914,694100,0.0,0.0,-0.6459818979116294
101,2023-01-24 00:00:00-05:00,53.116446985545245,53.31775370397372,52.64672765241435,52.96306991577149,688300,0.0,0.0,-0.2167153402967581
102,2023-01-25 00:00:00-05:00,52.90554882837387,53.739540021260765,52.76175989141919,53.72036743164063,704300,0.0,0.0,1.429859555107904
103,2023-01-26 00:00:00-05:00,53.59574843144473,53.65326620138254,53.058926882418056,53.4423713684082,778800,0.0,0.0,-0.5174872707007783
104,2023-01-27 00:00:00-05:00,53.08768946208848,53.18354875855714,52.627558256802935,52.8096923828125,714300,0.0,0.0,-1.1838527546509714
105,2023-01-30 00:00:00-05:00,52.6946592541408,53.298579389900254,52.52210959912448,53.03017044067383,1149600,0.0,0.0,0.4174954405397946
106,2023-01-31 00:00:00-05:00,53.17396197053154,53.98877692534094,53.07809902144963,53.89291763305664,1760100,0.0,0.0,1.6268987733086604
107,2023-02-01 00:00:00-05:00,53.7874714616648,54.47767008382964,53.23147731452141,54.31470489501953,1155000,0.0,0.0,0.7826395016033993
108,2023-02-02 00:00:00-05:00,54.01753398166672,54.353048818256994,53.69160726838344,53.89291763305664,1233500,0.0,0.0,-0.7765618220298309
109,2023-02-03 00:00:00-05:00,53.80663974639275,53.81622421235691,53.13561376818234,53.55739974975586,651300,0.0,0.0,-0.6225639620872636
110,2023-02-06 00:00:00-05:00,53.1835448370762,53.35609448343508,52.70424107647876,52.7905158996582,1050900,0.0,0.0,-1.4318914915228964
111,2023-02-07 00:00:00-05:00,52.33997181695024,52.7234163073592,51.98528804024044,52.38790512084961,1367500,0.0,0.0,-0.7626574053071544
112,2023-02-08 00:00:00-05:00,52.25369653047274,53.68202340506269,52.25369653047274,52.87679290771485,1535400,0.0,0.0,0.9332073610072156
