stock_id,stock_name,risk,roi,sharpe_ratio,correlation_to_hsi,PE_ratio,var
601919.SS,"COSCO SHIPPING Holdings Co., Ltd.",101.12102504377486,455.0923682146781,4.500472261012688,0.44317141785993264,8.47,-5.745205116583102
601601.SS,"China Pacific Insurance (Group) Co., Ltd.",74.53074891697507,-14.266976502213923,-0.19142403249036033,0.5976481030401195,9.64,-4.234474876369302
601390.SS,China Railway Group Limited,66.40276271709511,16.509325206608743,0.24862407121441177,0.5159342284290868,4.63,-3.772682208792482
600048.SS,"Poly Developments and Holdings Group Co., Ltd.",81.58188696578792,-25.069651040587065,-0.30729432687797775,0.3992214303308435,8.52,-4.635086266317501
601088.SS,China Shenhua Energy Company Limited,67.52004185265184,215.6300823874294,3.193571515521218,0.36861159384823755,13.69,-3.8361605784339416
600887.SS,"Inner Mongolia Yili Industrial Group Co., Ltd.",61.955335389709965,0.7097972963378518,0.011456596786589918,0.5557161740674081,12.18,-3.5200010059875897
601225.SS,Shaanxi Coal Industry Company Limited,79.86426503120879,261.60574468101,3.2756295269077045,0.38920486487250633,11.78,-4.537499336965989
603288.SS,Foshan Haitian Flavouring and Food Company Ltd.,71.83803637951488,-19.709016404764107,-0.27435349569750034,0.3998313638497882,33.79,-4.081488038656701
600030.SS,CITIC Securities Company Limited,65.27898720520685,1.6370721770773118,0.025078087868169837,0.7343823286659285,14.98,-3.708834746625278
600309.SS,"Wanhua Chemical Group Co., Ltd.",74.64959667035414,91.41953447609067,1.2246487396280392,0.5293969351859997,13.9,-4.241227228024283
600406.SS,"NARI Technology Co., Ltd.",82.33888859204684,148.15928786625204,1.7993841111982514,0.42868894092805665,26.14,-4.678095419108049
600809.SS,"Shanxi Xinghuacun Fen Wine Factory Co.,Ltd.",93.2110453047151,327.3323135527141,3.511733105048184,0.4332572017150834,19.66,-5.295798516430045
688981.SS,Semiconductor Manufacturing International Corporation,72.69206323981548,-41.172214355444034,-0.5663921550777067,0.40542534791673324,76.22,-4.573438222615984
600031.SS,"Sany Heavy Industry Co.,Ltd",82.31422707888869,22.561590888119838,0.27409102519418854,0.6060473873658487,28.41,-4.6766942718044335
603501.SS,"Will Semiconductor Co., Ltd.",107.28939945207911,76.81563117366099,0.71596664317215,0.4488789284425477,121.49,-6.095662167391759
600436.SS,"Zhangzhou Pientzehuang Pharmaceutical., Ltd",79.5893255063403,122.17796533440446,1.5351049221377235,0.47659916466665325,41.77,-4.521878609581733
603259.SS,"WuXi AppTec Co., Ltd.",99.75871894345423,7.873664869952172,0.07892708480363672,0.4275795987914311,14.27,-5.6678055058243455
600438.SS,"Tongwei Co.,Ltd",104.24660318541969,69.12526425668658,0.6630936850166327,0.4761016596175959,20.52,-5.922785273863791
600104.SS,SAIC Motor Corporation Limited,62.36130657012362,-34.49376852494704,-0.5531277393323972,0.5351790010015893,11.26,-3.543066315124716
600276.SS,"Jiangsu Hengrui Medicine Co., Ltd.",73.00124318608434,-4.961939798514054,-0.06797062052581469,0.4330935868014099,62.33,-4.147575795321095
600690.SS,"Haier Smart Home Co., Ltd.",74.42257127388238,81.39471644188396,1.0936832072402254,0.5188519131204427,13.79,-4.228328748515801
600089.SS,"TBEA Co., Ltd.",85.84304363910512,202.80709560979565,2.3625338409763526,0.49556195208373954,8.44,-4.877184475977722
600150.SS,China CSSC Holdings Limited,88.47131115104717,76.012245532251,0.8591739462578463,0.40677462997101627,51.35,-5.026509860593057
601012.SS,"LONGi Green Energy Technology Co., Ltd.",99.60013237360087,13.105808903235591,0.13158425185697142,0.4816996636822232,22.47,-5.6587953877786825
